x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
12113416,18895479,10092421,559.6,2075416,31.99,3733922,80922,1053156,2690984,236416
14859261,21627825,11751668,554.5,3184744,29.87,4785787,167217,1154425,3005475,268360
17880638,25453413,13489283,566.1,3981959,30.69,5459314,154958,1434440,3384477,326556
20452183,29787941,15191582,575.2,4048305,31.63,6331382,186678,3621757,4088545,373397
24415160,35118425,16963824,582.1,5388451,28.95,6870406,219390,4196301,4767231,455820
28257805,41646681,18633437,599,7531147,24.88,7507109,376839,7068265,8389925,596693
32278717,48903250,21055373,633.1,6930269,30.85,8754491,458096,17829885,8431405,756412
34051588,55607710,26598516,612.8,7791165,23.16,10134050,485760,17019222,11076649,732282
40022658,65574525,32635731,632.4,10312744,20.42,12805288,653736,26192835,13991612,935248
45769763,76419207,34122005,664.7,9585263,22.55,15613171,668043,21639131,15351387,1061594
47206504,86167948,37583868,677.3,8256048,20.9,17417072,703733,21396742,15796804,1075045
52273431,99643373,44545508,680.7,11053751,19.7,21828895,877889,22659148,20881374,1155923
